Potential (V),Current (A)
0.40213,0.0000077501
0.40585,0.0000072503
0.41102,0.0000068086
0.41619,0.0000064611
0.42124,0.0000061679
0.42638,0.0000059407
0.43172,0.0000057743
0.43682,0.0000056252
0.44194,0.0000055104
0.4472,0.000005428
0.45229,0.0000053636
0.45738,0.0000053237
0.46264,0.0000053
0.46774,0.0000052891
0.47289,0.0000052955
0.47812,0.0000053071
0.48324,0.0000053372
0.4884,0.0000053761
0.49363,0.000005428
0.49874,0.000005489
0.50055,0.0000055216
0.49876,0.0000048973
0.49367,0.0000044705
0.48841,0.0000041187
0.48326,0.0000038319
0.47814,0.0000035897
0.47292,0.0000033597
0.46778,0.0000031654
0.4627,0.0000029885
0.45742,0.0000028275
0.45232,0.0000026815
0.44725,0.0000025471
0.44203,0.0000024234
0.43688,0.0000023048
0.43178,0.0000021926
0.42646,0.0000020937
0.4213,0.0000019972
0.41626,0.0000019074
0.41109,0.0000018258
0.40589,0.0000017398
0.40078,0.0000016631
0.39565,0.0000015944
0.39049,0.0000015205
0.38535,0.0000014484
0.38021,0.0000013843
0.37505,0.0000013276
0.36988,0.0000012661
0.36461,0.0000012088
0.35949,0.0000011549
0.35439,0.0000010999
0.34921,0.0000010498
0.34408,0.0000010072
0.33888,0.00000095403
0.33377,0.00000090776
0.3287,0.00000087426
0.32345,0.00000082165
0.31835,0.00000078067
0.31325,0.00000073936
0.30794,0.00000070092
0.3028,0.00000066141
0.29776,0.00000062598
0.29256,0.00000058471
0.28741,0.00000055371
0.28228,0.00000051704
0.27703,0.00000048372
0.27194,0.00000045057
0.26686,0.00000041779
0.26158,0.00000039016
0.25646,0.00000035775
0.25134,0.00000032016
0.24612,0.00000029801
0.24092,0.00000026722
0.23579,0.00000023687
0.23058,0.00000021006
0.2254,0.00000018475
0.22032,0.0000001547
0.21512,0.00000012957
0.21,0.00000010374
0.20484,0.000000080935
0.19972,0.000000053785
0.19457,0.000000032593
0.18938,0.000000002992
0.18419,-0.000000020854
0.17909,-0.000000038068
0.17394,-0.000000067197
0.16877,-0.000000089983
0.16368,-0.00000010472
0.15844,-0.00000013439
0.15326,-0.00000015515
0.14825,-0.00000017233
0.14299,-0.00000020152
0.13782,-0.0000002221
0.13271,-0.00000024742
0.1275,-0.00000026713
0.12233,-0.00000028453
0.11721,-0.00000030583
0.112,-0.00000032704
0.10686,-0.00000034596
0.10175,-0.00000037053
0.096522,-0.00000038984
0.091377,-0.00000041018
0.086294,-0.00000043101
0.081115,-0.00000044461
0.075925,-0.00000046717
0.070765,-0.00000048975
0.065531,-0.00000050568
0.060344,-0.00000052316
0.055267,-0.00000054243
0.050133,-0.00000056176
0.044983,-0.00000057672
0.039805,-0.00000059765
0.034658,-0.00000061603
0.029535,-0.00000063025
0.024324,-0.00000065248
0.019195,-0.00000067127
0.014096,-0.00000068144
0.0088239,-0.00000070949
0.0035663,-0.000000728
-0.0015019,-0.00000073315
-0.0066962,-0.00000076073
-0.011859,-0.00000077744
-0.016904,-0.00000079182
-0.022205,-0.00000081327
-0.027371,-0.00000082839
-0.032362,-0.00000084667
-0.037624,-0.00000086315
-0.042765,-0.00000088115
-0.047857,-0.000000906
-0.053216,-0.00000092202
-0.058332,-0.00000094099
-0.063341,-0.00000096524
-0.068562,-0.00000098563
-0.07373,-0.0000010133
-0.07888,-0.0000010376
-0.084022,-0.0000010549
-0.089145,-0.0000010874
-0.094325,-0.0000011209
-0.099439,-0.0000011511
-0.10457,-0.0000011908
-0.10989,-0.000001239
-0.11505,-0.0000012858
-0.12017,-0.0000013372
-0.12523,-0.0000014058
-0.1304,-0.0000014891
-0.13557,-0.0000015709
-0.14077,-0.0000016905
-0.14589,-0.0000018159
-0.151,-0.0000019596
-0.15617,-0.0000021503
-0.16132,-0.0000023705
-0.16639,-0.000002615
-0.1717,-0.0000029415
-0.17688,-0.0000033098
-0.18189,-0.0000037216
-0.18709,-0.0000042542
