Potential (V),Current (A)
-0.72857,0.000013574
-0.73376,0.000013608
-0.73888,0.000013671
-0.74405,0.000013674
-0.74925,0.000013707
-0.75432,0.000013746
-0.75948,0.000013777
-0.76477,0.00001377
-0.76993,0.000013861
-0.77508,0.000013864
-0.7802,0.000013852
-0.78533,0.000013875
-0.79046,0.000013896
