Potential (V),Current (A)
0.40229,0.0000073975
0.40602,0.0000068942
0.41121,0.0000064376
0.41637,0.0000060697
0.42141,0.0000057571
0.42656,0.000005509
0.43187,0.0000053222
0.43698,0.000005159
0.44212,0.0000050296
0.44739,0.0000049317
0.45245,0.0000048516
0.45754,0.0000047929
0.46279,0.0000047471
0.4679,0.000004721
0.47306,0.0000047122
0.47825,0.0000047088
0.4834,0.0000047196
0.48857,0.0000047408
0.49377,0.0000047783
0.4989,0.0000048242
0.5007,0.0000048505
0.49885,0.0000042961
0.49376,0.0000039509
0.48855,0.0000036672
0.48341,0.0000034306
0.47825,0.0000032343
0.47303,0.0000030469
0.46789,0.0000028857
0.46281,0.0000027363
0.45752,0.0000025994
0.45245,0.0000024784
0.44736,0.0000023596
0.44215,0.0000022519
0.43698,0.000002153
0.43188,0.0000020515
0.42656,0.00000197
0.42143,0.0000018836
0.41642,0.0000018012
0.41122,0.0000017307
0.40601,0.0000016526
0.40085,0.0000015805
0.39572,0.0000015179
0.39059,0.0000014511
0.38544,0.0000013897
0.38032,0.0000013311
0.37515,0.0000012749
0.36998,0.0000012203
0.36476,0.0000011661
0.3596,0.0000011208
0.35449,0.0000010665
0.34934,0.0000010206
0.34421,0.00000097792
0.33903,0.00000092713
0.3339,0.00000088457
0.32883,0.00000085026
0.32358,0.0000007995
0.31846,0.00000076067
0.31339,0.0000007228
0.30805,0.0000006821
0.30291,0.00000064898
0.29786,0.00000061396
0.29264,0.00000057697
0.28749,0.00000054515
0.28239,0.00000050699
0.27713,0.00000047623
0.27203,0.00000044574
0.26694,0.00000041305
0.2617,0.00000038554
0.25655,0.00000035464
0.2514,0.00000032048
0.2462,0.00000030001
0.24105,0.00000026772
0.23587,0.00000023773
0.23067,0.00000021351
0.22551,0.00000018642
0.22039,0.00000015868
0.21521,0.00000013279
0.21003,0.00000011109
0.20491,0.000000079659
0.19977,0.000000056777
0.1946,0.000000038249
0.18942,0.000000011771
0.18422,-0.000000012952
0.17909,-0.000000026988
0.17393,-0.000000057328
0.16881,-0.000000080476
0.1637,-0.000000098145
0.15843,-0.0000001263
0.15328,-0.00000014533
0.14825,-0.00000016653
0.14301,-0.00000019149
0.13787,-0.0000002091
0.13275,-0.0000002349
0.12751,-0.00000025158
0.12236,-0.00000026904
0.11723,-0.00000028994
0.11202,-0.00000031309
0.10692,-0.00000033119
0.10179,-0.00000035289
0.096556,-0.00000037123
0.091424,-0.00000039448
0.08634,-0.0000004159
0.081157,-0.00000043007
0.075982,-0.00000045118
0.070817,-0.00000047218
0.065621,-0.00000048897
0.060435,-0.00000050707
0.055345,-0.00000052676
0.050202,-0.00000054405
0.045063,-0.0000005626
0.039879,-0.00000058236
0.034717,-0.00000060118
0.029573,-0.00000061683
0.024395,-0.00000063706
0.019254,-0.00000065566
0.01413,-0.00000066777
0.0089024,-0.0000006929
0.0036246,-0.0000007085
-0.0014246,-0.00000071599
-0.0066056,-0.00000074488
-0.01177,-0.00000076225
-0.016875,-0.0000007721
-0.022171,-0.00000079456
-0.027322,-0.00000081072
-0.032315,-0.00000082956
-0.037563,-0.0000008468
-0.042737,-0.00000086081
-0.047813,-0.0000008886
-0.053159,-0.00000090747
-0.058244,-0.00000092633
-0.063288,-0.00000094736
-0.068498,-0.0000009662
-0.073662,-0.00000099448
-0.078841,-0.0000010229
-0.083969,-0.000001037
-0.089121,-0.0000010694
-0.094262,-0.0000011019
-0.099393,-0.0000011303
-0.10455,-0.0000011691
-0.10983,-0.0000012181
-0.11497,-0.0000012635
-0.12011,-0.0000013115
-0.12515,-0.0000013766
-0.13035,-0.0000014577
-0.13551,-0.0000015414
-0.14072,-0.0000016494
-0.14584,-0.000001777
-0.15095,-0.000001911
-0.15615,-0.0000020983
-0.16132,-0.0000023076
-0.16637,-0.0000025434
-0.1717,-0.0000028553
-0.17683,-0.0000032079
-0.18186,-0.0000036063
-0.18709,-0.000004111
-0.19224,-0.0000046943
-0.19734,-0.000005358
-0.2026,-0.0000061498
-0.20773,-0.0000070486
-0.21274,-0.0000080799
-0.21799,-0.0000092971
-0.22312,-0.000010658
-0.22835,-0.000012196
-0.23364,-0.000013925
-0.23874,-0.00001586
-0.24379,-0.000017965
-0.24898,-0.000020332
-0.25418,-0.000022911
-0.25929,-0.000025698
-0.26445,-0.000028684
-0.26965,-0.000031878
-0.27474,-0.000035241
-0.27991,-0.0000388
-0.28505,-0.000042457
-0.29034,-0.000046295
-0.29548,-0.000050119
-0.30057,-0.000054073
-0.30573,-0.000058094
-0.31088,-0.000062065
-0.31596,-0.000066061
-0.32122,-0.00007016
-0.32637,-0.000074079
-0.33142,-0.000077676
-0.33664,-0.000081523
-0.34181,-0.000085158
-0.34688,-0.000088489
-0.3522,-0.000091851
-0.35732,-0.000095123
-0.36236,-0.000098046
-0.36758,-0.00010094
-0.3727,-0.00010375
-0.37785,-0.0001062
-0.38309,-0.00010871
-0.38821,-0.00011092
-0.39328,-0.00011315
-0.39849,-0.00011507
-0.40363,-0.00011677
-0.40886,-0.00011849
-0.41405,-0.00012013
-0.41913,-0.00012166
-0.42423,-0.0001228
-0.4294,-0.00012398
-0.43458,-0.00012515
-0.43972,-0.00012617
-0.44488,-0.00012736
-0.45,-0.0001283
-0.45516,-0.00012914
-0.46031,-0.00013008
-0.46555,-0.0001309
-0.47082,-0.00013165
-0.4759,-0.0001325
-0.481,-0.00013353
-0.48618,-0.00013419
-0.49131,-0.00013508
-0.49644,-0.00013611
-0.50169,-0.00013677
-0.50685,-0.00013786
-0.51187,-0.00013881
-0.51714,-0.00014001
-0.52231,-0.00014082
-0.52744,-0.00014188
-0.53269,-0.00014301
-0.53783,-0.00014434
-0.54286,-0.00014542
-0.54805,-0.0001467
-0.55322,-0.0001485
-0.55841,-0.00014987
-0.56356,-0.00015088
-0.56868,-0.000152
-0.57384,-0.00015316
-0.57902,-0.00015453
-0.58413,-0.00015651
-0.58941,-0.00015707
-0.5945,-0.00015818
-0.59966,-0.00015931
-0.60473,-0.00016098
-0.60991,-0.00016211
-0.61513,-0.00016331
-0.6203,-0.00016441
-0.62541,-0.00016555
-0.63054,-0.00016658
-0.63569,-0.00016768
-0.64083,-0.00016883
-0.64604,-0.00016993
-0.65118,-0.00017107
-0.65631,-0.000172
-0.66141,-0.00017268
-0.66658,-0.00017385
-0.67174,-0.00017493
-0.67687,-0.00017562
-0.68212,-0.00017667
-0.68728,-0.00017788
-0.6923,-0.0001789
-0.69755,-0.00017985
-0.70273,-0.00018069
-0.70791,-0.00018185
-0.71317,-0.00018283
-0.71828,-0.0001832
-0.72335,-0.0001844
-0.72855,-0.0001854
-0.7337,-0.00018655
-0.73882,-0.00018737
-0.74399,-0.00018818
-0.74914,-0.00018967
-0.75429,-0.00019125
-0.75941,-0.00019207
-0.76464,-0.00019281
-0.76989,-0.00019414
-0.77503,-0.00019513
-0.78016,-0.00019578
-0.78523,-0.00019712
-0.79044,-0.00019801
