Potential (V),Current (A)
0.40229,0.0000013551
0.40602,0.0000013343
0.41121,0.0000013137
0.41637,0.0000013029
0.42141,0.000001298
0.42656,0.0000012846
0.43187,0.0000012822
0.43698,0.000001275
0.44212,0.0000012709
0.44739,0.0000012696
0.45245,0.0000012651
0.45754,0.0000012642
0.46279,0.0000012553
0.4679,0.0000012545
0.47306,0.0000012512
0.47825,0.0000012499
0.4834,0.0000012438
0.48857,0.0000012426
0.49377,0.0000012442
0.4989,0.0000012431
0.5007,0.0000012428
0.49885,0.0000012394
0.49376,0.0000012411
0.48855,0.0000012392
0.48341,0.0000012448
0.47825,0.0000012404
0.47303,0.0000012373
0.46789,0.000001237
0.46281,0.0000012404
0.45752,0.000001237
0.45245,0.0000012355
0.44736,0.0000012355
0.44215,0.0000012319
0.43698,0.0000012368
0.43188,0.000001235
0.42656,0.0000012315
0.42143,0.0000012367
0.41642,0.0000012365
0.41122,0.0000012333
0.40601,0.0000012361
0.40085,0.0000012349
0.39572,0.0000012367
0.39059,0.0000012363
0.38544,0.0000012323
0.38032,0.0000012345
0.37515,0.0000012305
0.36998,0.000001233
0.36476,0.0000012316
0.3596,0.000001231
0.35449,0.0000012294
0.34934,0.0000012301
0.34421,0.0000012301
0.33903,0.0000012328
0.3339,0.0000012336
0.32883,0.0000012271
0.32358,0.0000012281
0.31846,0.000001232
0.31339,0.0000012333
0.30805,0.0000012284
0.30291,0.0000012331
0.29786,0.000001234
0.29264,0.0000012305
0.28749,0.0000012318
0.28239,0.0000012268
0.27713,0.0000012278
0.27203,0.0000012271
0.26694,0.0000012272
0.2617,0.0000012292
0.25655,0.0000012282
0.2514,0.0000012279
0.2462,0.0000012297
0.24105,0.0000012257
0.23587,0.0000012285
0.23067,0.0000012307
0.22551,0.0000012299
0.22039,0.0000012273
0.21521,0.0000012218
0.21003,0.0000012313
0.20491,0.0000012263
0.19977,0.0000012279
0.1946,0.0000012273
0.18942,0.0000012296
0.18422,0.0000012241
0.17909,0.0000012293
0.17393,0.0000012255
0.16881,0.0000012264
0.1637,0.0000012239
0.15843,0.000001224
0.15328,0.0000012246
0.14825,0.0000012255
0.14301,0.0000012235
0.13787,0.0000012217
0.13275,0.000001225
0.12751,0.0000012279
0.12236,0.0000012297
0.11723,0.0000012238
0.11202,0.0000012254
0.10692,0.0000012286
0.10179,0.0000012217
0.096556,0.000001225
0.091424,0.0000012226
0.08634,0.0000012159
0.081157,0.0000012229
0.075982,0.0000012238
0.070817,0.0000012272
0.065621,0.000001223
0.060435,0.0000012212
0.055345,0.0000012246
0.050202,0.0000012243
0.045063,0.0000012216
0.039879,0.0000012219
0.034717,0.0000012226
0.029573,0.0000012223
0.024395,0.0000012217
0.019254,0.0000012229
0.01413,0.0000012208
0.0089024,0.0000012245
0.0036246,0.0000012194
-0.0014246,0.0000012197
-0.0066056,0.0000012204
-0.01177,0.0000012205
-0.016875,0.000001222
-0.022171,0.0000012227
-0.027322,0.0000012229
-0.032315,0.000001223
-0.037563,0.0000012217
-0.042737,0.0000012223
-0.047813,0.000001222
-0.053159,0.0000012209
-0.058244,0.000001219
-0.063288,0.0000012209
-0.068498,0.0000012173
-0.073662,0.0000012192
-0.078841,0.0000012224
-0.083969,0.0000012197
-0.089121,0.0000012239
-0.094262,0.0000012187
-0.099393,0.000001228
-0.10455,0.0000012254
-0.10983,0.0000012243
-0.11497,0.0000012253
-0.12011,0.0000012251
-0.12515,0.0000012302
-0.13035,0.0000012308
-0.13551,0.0000012387
-0.14072,0.0000012402
-0.14584,0.0000012458
-0.15095,0.0000012537
-0.15615,0.0000012625
-0.16132,0.0000012754
-0.16637,0.0000012874
-0.1717,0.0000012982
-0.17683,0.0000013202
-0.18186,0.0000013442
-0.18709,0.000001369
-0.19224,0.0000014033
-0.19734,0.0000014441
-0.2026,0.0000014916
-0.20773,0.0000015473
-0.21274,0.0000016102
-0.21799,0.0000016874
-0.22312,0.0000017713
-0.22835,0.0000018641
-0.23364,0.0000019738
-0.23874,0.0000021019
-0.24379,0.0000022425
-0.24898,0.0000024022
-0.25418,0.0000025766
-0.25929,0.0000027664
-0.26445,0.0000029718
-0.26965,0.0000031963
-0.27474,0.0000034565
-0.27991,0.0000037009
-0.28505,0.0000039766
-0.29034,0.0000042658
-0.29548,0.0000045521
-0.30057,0.0000048544
-0.30573,0.0000051606
-0.31088,0.000005469
-0.31596,0.0000057977
-0.32122,0.0000061143
-0.32637,0.0000063994
-0.33142,0.0000067231
-0.33664,0.0000070218
-0.34181,0.0000073226
-0.34688,0.0000076124
-0.3522,0.0000078789
-0.35732,0.0000081535
-0.36236,0.0000084076
-0.36758,0.0000086408
-0.3727,0.0000088831
-0.37785,0.0000091069
-0.38309,0.0000092716
-0.38821,0.0000095031
-0.39328,0.0000096818
-0.39849,0.0000098395
-0.40363,0.0000099594
-0.40886,0.000010168
-0.41405,0.00001027
-0.41913,0.000010411
-0.42423,0.000010517
-0.4294,0.000010614
-0.43458,0.000010724
-0.43972,0.00001078
-0.44488,0.000010934
-0.45,0.000010941
-0.45516,0.000011045
-0.46031,0.000011114
-0.46555,0.000011209
-0.47082,0.000011249
-0.4759,0.000011315
-0.481,0.0000114
-0.48618,0.000011432
-0.49131,0.000011524
-0.49644,0.000011567
-0.50169,0.000011594
-0.50685,0.000011742
-0.51187,0.000011776
-0.51714,0.000011862
-0.52231,0.000011908
-0.52744,0.000011983
-0.53269,0.00001207
-0.53783,0.000012171
-0.54286,0.000012231
-0.54805,0.00001235
-0.55322,0.000012441
-0.55841,0.000012553
-0.56356,0.000012623
-0.56868,0.000012758
-0.57384,0.000012802
-0.57902,0.000012915
-0.58413,0.00001307
-0.58941,0.000013002
-0.5945,0.000013205
-0.59966,0.000013231
-0.60473,0.000013356
-0.60991,0.000013445
-0.61513,0.000013512
-0.6203,0.000013615
-0.62541,0.000013703
-0.63054,0.000013745
-0.63569,0.000013837
-0.64083,0.000013953
-0.64604,0.000013954
-0.65118,0.000014024
-0.65631,0.000014127
-0.66141,0.000014167
-0.66658,0.000014216
-0.67174,0.000014282
-0.67687,0.0000143
-0.68212,0.000014353
-0.68728,0.000014458
-0.6923,0.000014455
-0.69755,0.000014544
-0.70273,0.00001455
-0.70791,0.000014626
-0.71317,0.000014589
-0.71828,0.000014653
-0.72335,0.000014702
-0.72855,0.000014716
-0.7337,0.000014771
-0.73882,0.000014747
-0.74399,0.00001477
-0.74914,0.000014832
-0.75429,0.000014859
-0.75941,0.000014823
-0.76464,0.000014807
-0.76989,0.000014862
-0.77503,0.000014829
-0.78016,0.00001484
-0.78523,0.000014868
-0.79044,0.000014851
