Potential (V),Current (A)
-0.67684,-0.00029973
-0.68209,-0.00030236
-0.68721,-0.00030567
-0.69227,-0.00030799
-0.69751,-0.0003105
-0.7027,-0.00031295
-0.7079,-0.00031598
-0.71315,-0.00031843
-0.71826,-0.00032114
-0.7233,-0.00032338
-0.7285,-0.00032637
-0.73371,-0.0003289
-0.7388,-0.00033159
-0.74396,-0.0003341
-0.74915,-0.00033571
-0.75422,-0.00033912
-0.7594,-0.00034155
-0.76467,-0.00034365
-0.76984,-0.00034598
-0.77492,-0.00034881
-0.78009,-0.00035153
-0.78522,-0.0003533
-0.79034,-0.0003568
