Potential (V),Current (A)
0.4023,0.0000013327
0.40602,0.0000013181
0.41117,0.0000013058
0.41635,0.0000012853
0.4214,0.0000012792
0.42655,0.000001275
0.43187,0.0000012697
0.43693,0.0000012705
0.44211,0.0000012645
0.44736,0.0000012615
0.4524,0.0000012622
0.45752,0.0000012541
0.46277,0.0000012528
0.46788,0.0000012509
0.47301,0.0000012574
0.47825,0.0000012463
0.48337,0.0000012465
0.48855,0.0000012475
0.49375,0.0000012436
0.49886,0.0000012438
0.50067,0.0000012455
0.49887,0.0000012404
0.49377,0.0000012399
0.48855,0.0000012419
0.48338,0.0000012431
0.47823,0.0000012388
0.473,0.0000012404
0.46788,0.0000012375
0.46278,0.0000012338
0.45751,0.0000012406
0.45243,0.0000012383
0.44733,0.0000012397
0.44208,0.0000012381
0.43697,0.0000012367
0.43184,0.0000012353
0.42654,0.0000012345
0.42139,0.000001235
0.41634,0.0000012327
0.41118,0.0000012356
0.406,0.0000012356
0.40085,0.000001234
0.39569,0.0000012302
0.39051,0.0000012282
0.38539,0.0000012289
0.38027,0.0000012326
0.37512,0.0000012312
0.36992,0.0000012277
0.36471,0.0000012271
0.35951,0.0000012304
0.35444,0.0000012275
0.34929,0.0000012339
0.34414,0.0000012317
0.33894,0.0000012235
0.33379,0.0000012246
0.32873,0.0000012192
0.32351,0.0000012221
0.31838,0.0000012229
0.31332,0.0000012215
0.30797,0.00000122
0.30285,0.0000012185
0.29779,0.0000012182
0.2926,0.0000012264
0.28745,0.0000012247
0.28231,0.0000012222
0.27706,0.0000012229
0.27194,0.000001224
0.26687,0.0000012233
0.26161,0.0000012242
0.25648,0.0000012172
0.25138,0.0000012212
0.24613,0.0000012179
0.24096,0.0000012218
0.23579,0.0000012203
0.23063,0.0000012181
0.22546,0.0000012163
0.22033,0.0000012188
0.21514,0.0000012211
0.21,0.000001221
0.20488,0.0000012167
0.19972,0.0000012174
0.1946,0.0000012165
0.18939,0.0000012164
0.18418,0.0000012162
0.17906,0.0000012188
0.17391,0.0000012192
0.1688,0.0000012172
0.16371,0.0000012151
0.15843,0.0000012246
