Potential (V),Current (A)
0.4022,0.0000075277
0.40593,0.0000070289
0.41109,0.0000065773
0.41627,0.0000062165
0.42136,0.0000059146
0.42648,0.000005679
0.43181,0.0000054967
0.43689,0.000005336
0.44204,0.0000052165
0.4473,0.0000051295
0.45236,0.0000050535
0.45745,0.0000050021
0.4627,0.0000049693
0.46778,0.00000495
0.47293,0.0000049463
0.47815,0.0000049491
0.48331,0.0000049676
0.48847,0.0000049997
0.4937,0.0000050477
0.49883,0.0000050927
0.50061,0.0000051218
0.4988,0.0000045395
0.49372,0.0000041653
0.48846,0.0000038546
0.48333,0.0000035983
0.47819,0.0000033801
0.47296,0.0000031772
0.46781,0.0000030029
0.46273,0.0000028429
0.45747,0.0000026983
0.45238,0.0000025657
0.4473,0.0000024416
0.44208,0.0000023304
0.43697,0.0000022207
0.43185,0.0000021204
0.42652,0.0000020265
0.42138,0.0000019351
0.41634,0.0000018512
0.41114,0.0000017722
0.40601,0.0000016919
0.40083,0.0000016175
0.39568,0.0000015528
0.39052,0.000001484
0.38537,0.0000014185
0.38026,0.0000013571
0.3751,0.0000012983
0.36992,0.0000012401
0.3647,0.0000011844
0.35953,0.0000011381
0.35442,0.0000010863
0.34927,0.0000010344
0.34415,0.00000099334
0.33892,0.00000093805
0.33379,0.00000089606
0.3287,0.00000086036
0.32351,0.00000081275
0.31837,0.00000077348
0.31326,0.00000073108
0.30798,0.00000069545
0.30282,0.00000065543
0.29776,0.00000062219
0.29254,0.00000058434
0.28741,0.00000055336
0.28227,0.00000051497
0.27702,0.00000048424
0.27193,0.00000045352
0.26683,0.00000041796
0.26162,0.00000038919
0.25647,0.00000035988
0.25137,0.00000032638
0.24614,0.0000003021
0.24097,0.00000027064
0.2358,0.00000024235
0.23062,0.0000002161
0.22545,0.00000018916
0.22035,0.00000015904
0.21518,0.00000013096
0.21001,0.00000011212
0.20486,0.000000084274
0.19974,0.000000056813
0.19459,0.000000039045
0.18937,0.0000000079959
0.18421,-0.000000012688
0.17905,-0.000000034279
0.1739,-0.000000057899
0.16878,-0.000000083491
0.16369,-0.00000010034
0.15841,-0.00000012501
0.15324,-0.00000014776
0.14822,-0.000000165
0.14296,-0.00000019068
0.13782,-0.00000021106
0.13274,-0.00000023825
0.12749,-0.00000025751
0.12234,-0.00000027256
0.11727,-0.00000029439
0.11206,-0.00000031615
0.10698,-0.00000033343
0.10183,-0.00000035781
0.096604,-0.00000037469
0.091434,-0.00000039677
0.086367,-0.00000041698
0.08119,-0.00000042901
0.075986,-0.00000045535
0.07081,-0.00000047613
0.065571,-0.00000049228
0.060458,-0.00000051107
0.055357,-0.00000053293
0.050226,-0.00000055215
0.045069,-0.0000005664
0.039901,-0.0000005858
0.034749,-0.00000060729
0.029587,-0.00000062314
0.024426,-0.00000064586
0.019265,-0.00000066426
0.014165,-0.00000067619
0.0089046,-0.00000070262
0.0036518,-0.00000071627
-0.001457,-0.00000072346
-0.0066154,-0.00000075071
-0.011776,-0.00000077001
-0.01685,-0.00000078116
-0.022146,-0.00000080191
-0.027256,-0.00000081788
-0.032248,-0.00000083655
-0.037539,-0.00000085567
-0.042677,-0.0000008706
-0.047798,-0.00000089412
-0.053094,-0.00000090911
-0.058229,-0.0000009286
-0.063252,-0.00000095549
-0.068482,-0.00000097344
-0.073641,-0.00000099759
-0.078799,-0.0000010265
-0.083924,-0.0000010432
-0.089098,-0.0000010762
-0.094249,-0.0000011064
-0.099345,-0.0000011381
-0.10453,-0.0000011775
-0.1098,-0.0000012253
-0.11494,-0.0000012738
-0.12007,-0.0000013219
-0.12516,-0.0000013888
-0.1303,-0.0000014722
-0.1355,-0.0000015567
-0.14069,-0.000001669
-0.14578,-0.0000017987
-0.15093,-0.0000019363
-0.15616,-0.0000021287
-0.16126,-0.000002347
-0.16635,-0.0000025907
-0.17166,-0.0000029145
-0.17681,-0.0000032756
-0.18182,-0.0000036845
-0.18704,-0.0000042116
-0.19221,-0.000004815
-0.1973,-0.0000055078
-0.20259,-0.0000063323
-0.2077,-0.000007263
-0.21276,-0.0000083527
-0.21798,-0.0000096131
-0.22309,-0.00001103
-0.22831,-0.000012653
-0.23357,-0.000014485
-0.23867,-0.000016511
-0.24374,-0.000018749
-0.24896,-0.000021257
-0.25413,-0.000024021
-0.25926,-0.000026996
-0.2644,-0.000030193
-0.26956,-0.000033671
-0.27469,-0.00003733
-0.27981,-0.000041189
-0.28499,-0.000045283
-0.2903,-0.0000495
-0.29542,-0.000053874
-0.30053,-0.000058286
-0.30568,-0.000062829
-0.31084,-0.000067408
-0.31593,-0.000071995
-0.32116,-0.000076656
-0.3263,-0.000081174
-0.33131,-0.000085624
-0.33662,-0.000090163
-0.34177,-0.000094501
-0.34683,-0.000098679
-0.35215,-0.0001028
-0.35725,-0.00010671
-0.36229,-0.00011026
-0.36754,-0.00011396
-0.37266,-0.0001174
-0.37785,-0.00012064
-0.38303,-0.00012368
-0.38816,-0.0001265
-0.39324,-0.00012918
-0.39843,-0.00013169
-0.4036,-0.000134
-0.40883,-0.00013586
-0.41398,-0.00013839
-0.4191,-0.00014028
-0.42421,-0.00014197
-0.4294,-0.00014347
-0.43454,-0.00014511
-0.43975,-0.00014631
-0.44487,-0.00014758
-0.44999,-0.00014885
-0.45514,-0.00015001
-0.46028,-0.00015123
-0.46555,-0.00015238
-0.47076,-0.00015345
-0.47588,-0.00015449
-0.481,-0.00015557
-0.48617,-0.00015673
-0.49131,-0.00015759
-0.49641,-0.00015883
-0.50164,-0.00015998
-0.50681,-0.00016134
-0.51184,-0.00016253
-0.51705,-0.00016396
-0.52225,-0.00016516
-0.52739,-0.00016668
-0.53264,-0.00016838
-0.53778,-0.00016958
-0.54282,-0.00017154
-0.548,-0.00017309
-0.55316,-0.00017476
-0.55835,-0.00017662
-0.5635,-0.00017819
-0.56862,-0.00018006
-0.57376,-0.00018188
-0.57893,-0.00018361
-0.58408,-0.00018567
-0.58932,-0.0001874
-0.59446,-0.00018924
-0.5996,-0.00019114
-0.60468,-0.00019315
-0.60986,-0.00019528
-0.61506,-0.00019645
-0.62025,-0.00019771
-0.62536,-0.0001998
-0.6305,-0.00020133
-0.63564,-0.00020336
-0.64083,-0.00020496
-0.64602,-0.0002064
-0.6512,-0.00020849
-0.65632,-0.00021005
-0.66142,-0.00021152
-0.6666,-0.00021285
-0.67173,-0.00021429
-0.67688,-0.00021587
-0.68212,-0.00021781
-0.68726,-0.00021921
-0.69229,-0.00022077
-0.69755,-0.00022212
-0.7027,-0.00022376
-0.70794,-0.00022513
-0.71322,-0.0002266
-0.71829,-0.00022795
-0.72336,-0.00022946
-0.72857,-0.00023101
-0.73374,-0.0002325
-0.73886,-0.0002338
-0.74402,-0.00023546
-0.74916,-0.00023685
-0.75427,-0.00023819
-0.7594,-0.00023969
-0.76469,-0.00024137
-0.76985,-0.00024348
-0.77498,-0.00024465
-0.78011,-0.00024606
-0.78524,-0.00024791
-0.79042,-0.000249
