Potential (V),Current (A)
0.4022,0.0000013764
0.40593,0.0000013568
0.41109,0.0000013478
0.41627,0.0000013397
0.42136,0.000001332
0.42648,0.000001324
0.43181,0.0000013194
0.43689,0.0000013171
0.44204,0.0000013152
0.4473,0.0000013071
0.45236,0.0000013073
0.45745,0.0000013035
0.4627,0.000001299
0.46778,0.0000012984
0.47293,0.0000012945
0.47815,0.0000012938
0.48331,0.0000012911
0.48847,0.0000012851
0.4937,0.000001288
0.49883,0.0000012855
0.50061,0.0000012873
0.4988,0.0000012825
0.49372,0.000001283
0.48846,0.0000012799
0.48333,0.0000012801
0.47819,0.0000012805
0.47296,0.0000012799
0.46781,0.0000012759
0.46273,0.0000012724
0.45747,0.0000012682
0.45238,0.0000012723
0.4473,0.0000012715
0.44208,0.000001278
0.43697,0.0000012726
0.43185,0.0000012706
0.42652,0.0000012716
0.42138,0.0000012747
0.41634,0.0000012684
0.41114,0.0000012689
0.40601,0.0000012714
0.40083,0.0000012725
0.39568,0.0000012721
0.39052,0.0000012742
0.38537,0.0000012701
0.38026,0.0000012735
0.3751,0.0000012697
0.36992,0.0000012782
0.3647,0.0000012754
0.35953,0.0000012725
0.35442,0.0000012721
0.34927,0.0000012761
0.34415,0.0000012741
0.33892,0.0000012689
0.33379,0.0000012712
0.3287,0.0000012673
0.32351,0.000001269
0.31837,0.0000012696
0.31326,0.0000012703
0.30798,0.0000012648
0.30282,0.0000012685
0.29776,0.0000012597
0.29254,0.0000012684
0.28741,0.0000012656
0.28227,0.0000012639
0.27702,0.0000012617
0.27193,0.0000012654
0.26683,0.0000012641
0.26162,0.0000012645
0.25647,0.0000012631
0.25137,0.0000012614
0.24614,0.0000012657
0.24097,0.0000012655
0.2358,0.0000012636
0.23062,0.0000012596
0.22545,0.0000012626
0.22035,0.0000012599
0.21518,0.0000012584
0.21001,0.0000012586
0.20486,0.0000012569
0.19974,0.0000012574
0.19459,0.0000012595
0.18937,0.0000012561
0.18421,0.0000012656
0.17905,0.0000012614
0.1739,0.0000012602
0.16878,0.0000012603
0.16369,0.0000012599
0.15841,0.0000012631
0.15324,0.0000012573
0.14822,0.0000012586
0.14296,0.0000012597
0.13782,0.0000012608
0.13274,0.0000012573
0.12749,0.0000012592
0.12234,0.0000012642
0.11727,0.0000012617
0.11206,0.0000012631
0.10698,0.0000012635
0.10183,0.0000012578
0.096604,0.0000012586
0.091434,0.0000012596
0.086367,0.0000012609
0.08119,0.0000012573
0.075986,0.0000012555
0.07081,0.0000012558
0.065571,0.0000012581
0.060458,0.0000012615
0.055357,0.0000012592
0.050226,0.0000012617
0.045069,0.0000012605
0.039901,0.0000012555
0.034749,0.0000012573
0.029587,0.0000012551
0.024426,0.0000012547
0.019265,0.0000012554
0.014165,0.0000012544
0.0089046,0.0000012532
0.0036518,0.0000012492
-0.001457,0.0000012508
-0.0066154,0.0000012514
-0.011776,0.0000012526
-0.01685,0.0000012472
-0.022146,0.0000012542
-0.027256,0.000001248
-0.032248,0.0000012508
-0.037539,0.0000012535
-0.042677,0.0000012505
-0.047798,0.0000012498
-0.053094,0.0000012428
-0.058229,0.0000012502
-0.063252,0.0000012471
-0.068482,0.0000012504
-0.073641,0.0000012457
-0.078799,0.000001255
-0.083924,0.0000012491
-0.089098,0.0000012568
-0.094249,0.0000012545
-0.099345,0.0000012545
-0.10453,0.0000012515
-0.1098,0.0000012542
-0.11494,0.0000012517
-0.12007,0.0000012605
-0.12516,0.0000012597
-0.1303,0.0000012638
-0.1355,0.0000012711
-0.14069,0.000001273
-0.14578,0.0000012789
-0.15093,0.0000012825
-0.15616,0.0000012886
-0.16126,0.0000012957
-0.16635,0.0000013075
-0.17166,0.0000013264
-0.17681,0.0000013413
-0.18182,0.0000013614
-0.18704,0.0000013849
-0.19221,0.0000014183
-0.1973,0.0000014529
-0.20259,0.0000014951
-0.2077,0.0000015428
-0.21276,0.0000015992
-0.21798,0.0000016676
-0.22309,0.0000017429
-0.22831,0.000001829
-0.23357,0.0000019317
-0.23867,0.0000020465
-0.24374,0.000002163
-0.24896,0.0000023069
-0.25413,0.0000024631
-0.25926,0.0000026344
-0.2644,0.0000028195
-0.26956,0.0000030241
-0.27469,0.0000032253
-0.27981,0.0000034561
-0.28499,0.000003707
-0.2903,0.0000039519
-0.29542,0.0000042049
-0.30053,0.0000044731
-0.30568,0.0000047473
-0.31084,0.0000050256
-0.31593,0.0000053201
-0.32116,0.000005594
-0.3263,0.0000058723
-0.33131,0.0000061575
-0.33662,0.0000064362
-0.34177,0.0000067016
-0.34683,0.0000069546
-0.35215,0.000007222
-0.35725,0.0000074565
-0.36229,0.0000076986
-0.36754,0.0000079121
-0.37266,0.0000081459
-0.37785,0.0000083507
-0.38303,0.0000085391
-0.38816,0.0000087316
-0.39324,0.0000089011
-0.39843,0.0000090575
-0.4036,0.0000092132
-0.40883,0.0000093252
-0.41398,0.0000094983
-0.4191,0.0000096154
-0.42421,0.0000097089
-0.4294,0.0000098282
-0.43454,0.0000099273
-0.43975,0.0000099842
-0.44487,0.000010101
-0.44999,0.000010159
-0.45514,0.000010235
-0.46028,0.000010307
-0.46555,0.000010384
-0.47076,0.00001042
-0.47588,0.000010496
-0.481,0.000010566
-0.48617,0.000010616
-0.49131,0.000010686
-0.49641,0.000010751
-0.50164,0.000010836
-0.50681,0.000010893
-0.51184,0.000010948
-0.51705,0.000011024
-0.52225,0.000011107
-0.52739,0.000011191
-0.53264,0.000011285
-0.53778,0.00001137
-0.54282,0.000011479
-0.548,0.000011553
-0.55316,0.000011674
-0.55835,0.000011743
-0.5635,0.00001186
-0.56862,0.000011949
-0.57376,0.000012045
-0.57893,0.000012167
-0.58408,0.000012288
-0.58932,0.000012382
-0.59446,0.000012482
-0.5996,0.000012583
-0.60468,0.000012683
-0.60986,0.000012794
-0.61506,0.000012884
-0.62025,0.000012951
-0.62536,0.000013076
-0.6305,0.000013147
-0.63564,0.000013246
-0.64083,0.00001332
-0.64602,0.000013369
-0.6512,0.000013508
-0.65632,0.000013582
-0.66142,0.000013626
-0.6666,0.000013707
-0.67173,0.000013776
-0.67688,0.000013857
-0.68212,0.000013934
-0.68726,0.000013996
-0.69229,0.000014036
-0.69755,0.000014083
-0.7027,0.000014165
-0.70794,0.000014192
-0.71322,0.000014269
-0.71829,0.000014298
-0.72336,0.00001435
-0.72857,0.000014377
-0.73374,0.000014432
-0.73886,0.00001446
-0.74402,0.000014491
-0.74916,0.000014509
-0.75427,0.000014544
-0.7594,0.000014555
-0.76469,0.000014614
-0.76985,0.000014597
-0.77498,0.000014585
-0.78011,0.000014649
-0.78524,0.000014652
-0.79042,0.000014637
