Potential (V),Current (A)
0.40216,0.0000035679
0.40591,0.0000033206
0.41104,0.0000031376
0.41625,0.0000029845
0.4213,0.0000028628
0.4264,0.0000027549
0.43175,0.0000026592
0.43682,0.000002583
0.44197,0.0000025039
0.44721,0.000002447
0.45228,0.0000023888
0.45738,0.0000023444
0.46264,0.0000022975
0.46772,0.0000022621
0.47283,0.0000022223
0.47806,0.0000021892
0.48323,0.0000021549
0.48837,0.0000021241
0.49357,0.0000020973
0.49865,0.0000020666
0.50048,0.0000020607
0.49867,0.0000020305
0.49355,0.0000020056
0.48832,0.0000019875
0.48317,0.0000019712
0.47804,0.0000019456
0.47283,0.0000019289
0.46765,0.0000019124
0.46259,0.0000018945
0.45729,0.0000018811
0.4522,0.0000018687
0.44712,0.0000018572
0.44189,0.0000018419
0.43678,0.0000018318
0.43164,0.0000018239
0.4263,0.0000018083
0.42116,0.0000017994
0.41615,0.0000017855
0.41096,0.0000017674
0.40578,0.0000017513
0.40063,0.0000017347
0.39551,0.000001718
0.39035,0.0000016977
0.38518,0.0000016852
0.38009,0.0000016832
0.37495,0.0000016871
0.36972,0.000001679
0.36448,0.0000016806
0.35933,0.0000016755
0.35426,0.0000016692
0.34907,0.0000016695
0.34395,0.0000016671
0.33878,0.0000016602
0.33363,0.0000016535
0.32854,0.0000016461
0.3233,0.0000016339
0.31819,0.0000016293
0.3131,0.0000016274
0.30782,0.0000016194
0.30265,0.0000016143
0.29758,0.0000016075
0.29239,0.0000016119
0.28726,0.0000016069
0.28212,0.0000016027
0.27687,0.0000015952
0.27176,0.0000015948
0.26665,0.0000015908
0.26145,0.0000015854
0.25629,0.0000015782
0.25118,0.000001578
0.24596,0.000001572
0.24082,0.0000015685
0.23565,0.0000015586
0.23046,0.0000015546
0.22524,0.0000015518
0.22021,0.0000015533
0.215,0.0000015486
0.20979,0.0000015398
0.20466,0.0000015316
0.19949,0.0000015307
0.19437,0.0000015317
0.18917,0.000001528
0.18395,0.0000015248
0.17882,0.0000015231
0.17369,0.0000015161
0.16854,0.0000015135
0.16344,0.0000015109
0.15818,0.0000015122
0.15304,0.0000015003
0.14802,0.0000014908
0.14275,0.0000014909
0.13761,0.0000014938
0.1325,0.000001496
0.12724,0.0000014913
0.12212,0.0000014894
0.11698,0.0000014908
0.11173,0.0000014937
0.10664,0.000001489
0.10155,0.0000014898
0.096294,0.000001485
0.091175,0.0000014834
0.086069,0.0000014783
0.080886,0.0000014784
0.075729,0.000001476
0.070547,0.0000014731
0.065342,0.0000014678
0.0602,0.0000014636
0.055088,0.0000014628
0.049925,0.0000014559
0.04479,0.0000014585
0.039592,0.0000014552
0.034466,0.0000014531
0.029293,0.0000014518
0.02413,0.0000014493
0.018986,0.0000014498
0.013894,0.000001448
0.0086338,0.0000014428
0.0033722,0.0000014409
-0.001708,0.0000014366
-0.006879,0.0000014346
-0.012038,0.0000014276
-0.017108,0.0000014287
-0.022388,0.0000014222
-0.027548,0.0000014235
-0.032547,0.0000014216
-0.037802,0.0000014194
-0.042953,0.00000142
-0.04805,0.000001419
-0.053367,0.0000014169
-0.058484,0.0000014096
-0.063526,0.0000014108
-0.068741,0.0000014089
-0.073889,0.0000014088
-0.079065,0.0000014092
-0.084174,0.0000014092
-0.089338,0.0000014082
-0.094497,0.0000014108
-0.099588,0.000001408
-0.10481,0.0000014079
-0.11007,0.0000014086
-0.1152,0.0000014056
-0.12033,0.0000014075
-0.1254,0.0000014053
-0.13058,0.0000014085
-0.13575,0.0000014112
-0.14095,0.0000014087
-0.14611,0.0000014173
-0.15121,0.000001418
-0.1564,0.0000014274
-0.16153,0.0000014319
-0.16657,0.0000014414
-0.17195,0.0000014543
-0.17711,0.0000014702
-0.18211,0.0000014841
-0.18732,0.0000015077
-0.19247,0.0000015344
-0.19756,0.0000015619
-0.20283,0.0000015977
-0.20796,0.0000016332
-0.213,0.0000016803
-0.21821,0.0000017375
