Potential (V),Current (A)
0.40216,0.0000052253
0.40591,0.0000051545
0.41104,0.0000050636
0.41625,0.0000050008
0.4213,0.0000049474
0.4264,0.0000049269
0.43175,0.000004928
0.43682,0.0000049176
0.44197,0.0000049291
0.44721,0.0000049594
0.45228,0.0000049836
0.45738,0.0000050236
0.46264,0.0000050788
0.46772,0.0000051303
0.47283,0.0000051871
0.47806,0.000005249
0.48323,0.0000053191
0.48837,0.0000053978
0.49357,0.0000054812
0.49865,0.0000055647
0.50048,0.0000056097
0.49867,0.0000049344
0.49355,0.0000044482
0.48832,0.0000040486
0.48317,0.0000037319
0.47804,0.0000034591
0.47283,0.0000032102
0.46765,0.0000029974
0.46259,0.0000028054
0.45729,0.000002633
0.4522,0.0000024793
0.44712,0.0000023384
0.44189,0.0000022097
0.43678,0.0000020951
0.43164,0.0000019828
0.4263,0.0000018891
0.42116,0.0000017894
0.41615,0.0000016966
0.41096,0.0000016124
0.40578,0.0000015214
0.40063,0.0000014454
0.39551,0.0000013746
0.39035,0.0000013077
0.38518,0.0000012368
0.38009,0.0000011718
0.37495,0.0000011177
0.36972,0.0000010612
0.36448,0.0000010057
0.35933,0.00000096128
0.35426,0.00000090754
0.34907,0.00000086101
0.34395,0.00000082374
0.33878,0.00000077078
0.33363,0.00000072413
0.32854,0.0000006902
0.3233,0.00000064111
0.31819,0.00000060144
0.3131,0.0000005678
0.30782,0.00000052906
0.30265,0.00000049682
0.29758,0.00000046129
0.29239,0.00000042465
0.28726,0.0000003958
0.28212,0.00000035901
0.27687,0.00000033123
0.27176,0.00000030493
0.26665,0.00000027742
0.26145,0.00000025136
0.25629,0.00000021588
0.25118,0.00000018691
0.24596,0.00000016573
0.24082,0.00000013217
0.23565,0.000000098409
0.23046,0.000000075072
0.22524,0.000000057453
0.22021,0.000000028585
0.215,0.0000000044612
0.20979,-0.000000019462
0.20466,-0.000000048616
0.19949,-0.000000069926
0.19437,-0.000000088075
0.18917,-0.00000012019
0.18395,-0.00000013825
0.17882,-0.00000015685
0.17369,-0.00000018397
0.16854,-0.00000020578
0.16344,-0.00000022136
0.15818,-0.00000024669
0.15304,-0.00000026611
0.14802,-0.00000028809
0.14275,-0.00000030812
0.13761,-0.00000032388
0.1325,-0.00000034766
